Hours since 1 January 2017 00:00,Measured grid demand (MW)
297.5,7999.98
298,8071.02
298.5,8114.72
299,8188.79
299.5,8263.13
300,8315.55
300.5,8403.72
301,8504.79
301.5,8599.58
302,8622.02
302.5,8610.8
303,8655.62
303.5,8809.04
304,8961.54
304.5,8942.84
305,9040.05
305.5,8997.67
306,8915.76
306.5,8842.77
307,8698.99
307.5,8673.21
308,8672.79
308.5,8494.43
309,8297.24
309.5,8202.25
310,7924.99
310.5,7546.18
311,7266.39
311.5,7010.27
312,6730.6
312.5,6597.18
313,6381.96
313.5,6301.17
314,6273.18
314.5,6252.85
315,6200.47
315.5,6122.43
316,6078.5
316.5,6098.25
317,6069.67
317.5,6085.19
318,6132.77
318.5,6320.21
319,6234.13
319.5,6532.27
320,6773.83
320.5,7027.57
321,7315.78
321.5,7494.88
322,7547.82
322.5,7589.51
323,7666.61
323.5,7788.38
324,7944.31
324.5,8009.51
325,7954.79
325.5,8105.11
326,8112.96
326.5,8140.27
327,8291.12
327.5,8359.59
328,8473.26
328.5,8558.71
329,8587.6
329.5,8664.23
330,8546.68
330.5,8467.92
331,8470.08
331.5,8542.07
332,8535.05
332.5,8467.57
333,8257.43
333.5,8192.45
334,7879.83
334.5,7555.98
335,7437.6
335.5,7105.49
336,6834.78
336.5,6658.98
337,6567.97
337.5,6458.4
338,6339.67
338.5,6297.09
339,6283.07
339.5,6191.22
340,6199.22
340.5,6155.65
341,6142.94
341.5,6168.44
342,6164.2
342.5,6220.43
343,6304.02
343.5,6461.03
344,6524.88
344.5,6587.85
345,6644.63
345.5,6849.75
346,7050.02
346.5,7169.51
347,7113.95
347.5,7178.54
348,7371.86
348.5,7418.86
349,7532.92
349.5,7639.5
350,7689.91
350.5,7720.19
351,7731.54
351.5,7867.22
352,7901.6
352.5,7950.56
353,7981.35
353.5,7987.57
354,7951.91
354.5,7985.26
355,7979.03
355.5,7980.25
356,7957.1
356.5,7831.65
357,7619.09
357.5,7408.79
358,7133.25
358.5,6829.6
359,6733.16
359.5,6472.35
360,6120.74
360.5,6077.12
361,6019.76
361.5,5886.03
362,5797.31
362.5,5794.99
363,5780.8
363.5,5730.25
364,5693.32
364.5,5725.01
365,5794.59
365.5,5915.59
366,6099.28
366.5,6379.56
367,6583.62
367.5,6940.9
368,7178.94
368.5,7363.03
369,7568.33
369.5,7541.66
370,7575
370.5,7635.7
371,7741.89
371.5,7819.24
372,7900.25
372.5,7934.62
373,8028.78
373.5,8148.35
374,8210.32
374.5,8302.27
375,8371.69
375.5,8465.18
376,8519.55
376.5,8585.15
377,8715.95
377.5,8679.16
378,8568.38
378.5,8472.41
379,8501.51
379.5,8531.94
380,8587.92
380.5,8431.33
381,8113.43
381.5,7841.69
382,7528.2
382.5,7167.24
383,7030.86
383.5,6737.58
384,6387.25
384.5,6203.71
385,6122.24
385.5,6006.51
386,5926.19
386.5,5920.97
387,5924.27
387.5,5852.33
388,5873.42
388.5,5888.41
389,5902.89
389.5,6036.52
390,6177.15
390.5,6443.36
391,6741.74
391.5,7090.05
392,7262.92
392.5,7470.98
393,7539.25
393.5,7541.82
394,7612.09
394.5,7663.25
395,7736.3
395.5,7829.37
396,7920.69
396.5,7986.4
397,8061.59
397.5,8165.85
398,8236.65
398.5,8373.56
399,8447.84
399.5,8522.56
400,8623.88
400.5,8735.56
401,8872.34
401.5,8852.34
402,8720.28
402.5,8605.84
403,8628.9
403.5,8651.01
404,8580.75
404.5,8389.92
405,8076.57
405.5,7832.17
406,7513.28
406.5,7181.38
407,7040.49
407.5,6766.01
408,6408.44
408.5,6242.53
409,6154.45
409.5,6022.19
410,5928.96
410.5,5909.66
411,5859.18
411.5,5839.51
412,5826.91
412.5,5861.86
413,5877.47
413.5,6012.61
414,6114.12
414.5,6425.19
415,6632.66
415.5,6960.57
416,7156.76
416.5,7384.95
417,7466.44
417.5,7495.25
418,7553.21
418.5,7656.32
419,7799.96
419.5,7954.45
420,8116.02
420.5,8238.63
421,8426.22
421.5,8601.9
422,8785.33
422.5,8907.86
423,8997.49
423.5,9134.85
424,9261.78
424.5,9314.12
425,9332.25
425.5,9317.89
426,9324.26
426.5,9278.84
427,9357.09
427.5,9310.44
428,9216.33
428.5,9006.38
429,8760.8
429.5,8504.46
430,8105.21
430.5,7693.1
431,7430.29
431.5,7106.48
432,6747.46
432.5,6569.77
433,6469.9
433.5,6280.12
434,6212.91
434.5,6163.58
435,6112.04
435.5,6108.86
436,6085.4
436.5,6143.59
437,6190.2
437.5,6342.81
438,6485.52
438.5,6858.8
439,7012.99
439.5,7458.39
440,7722.96
440.5,7916.94
441,7976.13
441.5,7987.29
442,8054.19
442.5,8091.72
443,8151.97
443.5,8209.63
444,8273.78
444.5,8295.43
445,8334.54
445.5,8370.55
446,8497.74
446.5,8502.74
447,8486.94
447.5,8534
448,8555.3
448.5,8543.53
449,8548.79
449.5,8502.13
450,8459.2
450.5,8376.88
451,8463.5
451.5,8475.58
452,8383.74
452.5,8238.65
453,7974.76
453.5,7707.66
454,7414.97
454.5,7106.65
455,6973.63
455.5,6713.9
456,6364.71
456.5,6240.06
457,6184.8
457.5,6062.88
458,5998.88
458.5,5972.13
459,5941.63
459.5,5890.14
460,5905.13
460.5,5929.57
461,5994.48
461.5,6161.92
462,6291.91
462.5,6601.63
463,6874.22
463.5,7159.53
464,7338.7
464.5,7483.9
465,7552.57
465.5,7682.42
466,7757.99
466.5,7843.86
467,7997.12
467.5,8094.85
468,8241.35
468.5,8261.48
469,8333.05
469.5,8444.53
470,8474.84
470.5,8535.81
471,8810.36
471.5,8709.42
472,8982.58
472.5,9092.62
473,9169.78
473.5,8995
474,8967.39
474.5,8891.14
475,8917.29
475.5,8971.5
476,8945.26
476.5,8841.65
477,8556.81
477.5,8348.85
478,8054.39
478.5,7699.79
479,7495.7
479.5,7130.82
480,6788.26
480.5,6617.05
481,6519.32
481.5,6460.21
482,6369.81
482.5,6303.03
483,6339.24
483.5,6270.15
484,6244.63
484.5,6237.57
485,6253.28
485.5,6315.06
486,6278.77
486.5,6417.49
487,6570.7
487.5,6806.24
488,6902.87
488.5,7209.67
489,7421.3
489.5,7483.57
490,7518.85
490.5,7643.59
491,7820.24
491.5,7910.67
492,7994.68
492.5,8076.77
493,8114.24
493.5,8157.65
494,8101.69
494.5,8029.53
495,7962.33
495.5,7885.08
496,7910.43
496.5,7913.33
497,7869.56
497.5,7872.99
498,7742.95
498.5,7669.97
499,7722.66
499.5,7727.28
500,7697.95
500.5,7594.99
501,7355.13
501.5,7256.23
502,7059.95
502.5,6865.04
503,6796.97
503.5,6585.04
504,6274.74
504.5,6171.05
505,6074.17
505.5,5916.58
506,5830.11
506.5,5826.9
507,5787.44
507.5,5753.07
508,5727.4
508.5,5708.86
509,5741.69
509.5,5757
510,5709.64
510.5,5767.75
511,5878.47
511.5,6015.72
512,6083.71
512.5,6221.42
513,6270.29
513.5,6372
514,6410.65
514.5,6438.99
515,6411.31
515.5,6464.64
516,6566.75
516.5,6633.08
517,6707.33
517.5,6777.22
518,6749.35
518.5,6816.77
519,6847.58
519.5,6935.86
520,7014.99
520.5,7079.72
521,7215.29
521.5,7305.78
522,7337.89
522.5,7416.9
523,7451.69
523.5,7496.59
524,7437.86
524.5,7364.86
525,7217.43
525.5,7037.18
526,6798.73
526.5,6565.43
527,6493.34
527.5,6304.34
528,6036.02
528.5,5839.75
529,5722.81
529.5,5656.39
530,5600.53
530.5,5624.27
531,5606.34
531.5,5593.82
532,5559.84
532.5,5650.65
533,5704.47
533.5,5870.79
534,6041.44
534.5,6346.83
535,6576.98
535.5,6955.4
536,7066.98
536.5,7170.36
537,7173.34
537.5,7170.78
538,7164.92
538.5,7184.09
539,7214.96
539.5,7192.31
540,7252.5
540.5,7313.47
541,7278.23
541.5,7354.97
542,7431
542.5,7519.76
543,7584.29
543.5,7680.01
544,7814.36
544.5,7955.86
545,8057
545.5,8023.35
546,8022.78
546.5,7942.77
547,7989.5
547.5,8032.92
548,7982.27
548.5,7842.37
549,7605.73
549.5,7412.8
550,7114.51
550.5,6787.81
551,6658.54
551.5,6448.83
552,6125.28
552.5,5992.7
553,5935.14
553.5,5794.22
554,5702.27
554.5,5673.68
555,5636.99
555.5,5645.65
556,5570.59
556.5,5664.39
557,5763
557.5,5881.37
558,6016.19
558.5,6329.72
559,6565.07
559.5,6928.06
560,7020.15
560.5,7031.52
561,7036.64
561.5,7076.03
562,7107.97
562.5,7098.46
563,7129.29
563.5,7215.6
564,7331.57
564.5,7457.3
565,7576.89
565.5,7631.56
566,7749.6
566.5,7816.69
567,7927.37
567.5,8047.36
568,8195.05
568.5,8353.89
569,8362.77
569.5,8442.64
570,8438.99
570.5,8371.2
571,8414.96
571.5,8413.39
572,8378.21
572.5,8183.4
573,7902.84
573.5,7695.76
574,7360.17
574.5,7064.58
575,6889.29
575.5,6675.18
576,6326.43
576.5,6193.41
577,6089.64
577.5,5977.28
578,5894.46
578.5,5879.19
579,5814.91
579.5,5777.02
580,5777.58
580.5,5788.45
581,5872.06
581.5,5982.15
582,6194.59
582.5,6493.38
583,6759.58
583.5,7131.39
584,7330.63
584.5,7347.28
585,7413.56
585.5,7446.2
586,7470.13
586.5,7544.44
587,7625.81
587.5,7662.85
588,7815.86
588.5,7923.82
589,7997.49
589.5,8096.66
590,8194.61
590.5,8312.25
591,8293.06
591.5,8361.28
592,8469.28
592.5,8530.1
593,8528.75
593.5,8492.58
594,8402.18
594.5,8388.66
595,8429.12
595.5,8370.26
596,8263.16
596.5,8106.87
597,7933.8
597.5,7750.71
598,7466.79
598.5,7218.22
599,7020.51
599.5,6736.44
600,6468.07
600.5,6240.43
601,6159.74
601.5,6024.66
602,5968.53
602.5,5911.09
603,5898.55
603.5,5839.3
604,5820.14
604.5,5821.74
605,5797.56
605.5,5808.67
606,5834.08
606.5,5937.17
607,6095.53
607.5,6248.31
608,6286.42
608.5,6383.37
609,6499.3
609.5,6607.01
610,6685.68
610.5,6694.95
611,6768.23
611.5,6784.42
612,6847.45
612.5,6876.2
613,7008.35
613.5,7103.48
614,7159.35
614.5,7257.28
615,7394.65
615.5,7500.01
616,7700.51
616.5,7801.93
617,7863.92
617.5,7917.24
618,8012.52
618.5,7965.46
619,8030.07
619.5,8068.68
620,8053.3
620.5,7921.94
621,7618.64
621.5,7450.01
622,7239.89
622.5,6942.58
623,6800.85
623.5,6537.71
624,6261.2
624.5,6114.89
625,5937.57
625.5,5909.03
626,5867.63
626.5,5858.69
627,5859.11
627.5,5810.67
628,5801.31
628.5,5859.76
629,5913.99
629.5,6058.36
630,6157.67
630.5,6440.52
631,6754.74
631.5,7056.05
632,7265.87
632.5,7374.49
633,7451.14
633.5,7486.79
634,7599.34
634.5,7673.3
635,7523.46
635.5,7618.91
636,7790.31
636.5,7853.67
637,7894.46
637.5,7954.48
638,7913.08
638.5,7886.81
639,7864.01
639.5,7895.98
640,7979.18
640.5,7996.88
641,8035.77
641.5,8003.53
